site,date,time,watertemp_C,airpres_mmHg,pH,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,Notes,error_pct
UNHC,2020-02-12,10:40,12.3,755.4,7.21,1.837466629,2618.070368,0.563610874,0.058365242,874.5999868,0.502928154,,0
UNHC,2020-02-12,10:40,12.3,755.4,7.21,2.004088264,2487.395917,0.562291561,0.058365242,874.5999868,0.502928154,,0
WB,2020-02-12,9:45,12.4,756.2,6.83,1.475703525,2353.036698,0.512401911,0.058287221,872.6395158,0.501706871,,0
WB,2020-02-12,9:45,12.4,756.2,6.83,1.427125935,2153.906626,0.500380961,0.058287221,872.6395158,0.501706871,,0
WBP,2020-02-12,10:15,12.4,755.7,6.79,2.582893971,2554.340324,0.606860516,0.058248682,872.0625259,0.501375142,,0
WBP,2020-02-12,10:15,12.4,755.7,6.79,2.660425505,2622.742914,0.552725788,0.058248682,872.0625259,0.501375142,,0
CBP,2020-02-27,12:15,10.3,752.2,7.2,0.944640574,1173.385446,0.595034212,0.061038314,931.3571389,0.537615565,,0
CBP,2020-02-27,12:15,10.3,752.2,7.2,0.958084001,1003.431907,0.540553322,0.061038314,931.3571389,0.537615565,,0
MC751,2020-02-27,14:30,9.7,751.7,7.15,18.5342826,3614.962069,0.864542417,0.061927191,950.0515472,0.549051222,,0
MC751,2020-02-27,14:30,9.7,751.7,7.15,18.9807072,3857.933647,1.004085259,0.061927191,950.0515472,0.549051222,,0
NHC,2020-02-27,11:00,9.6,754.8,7.73,1.783769039,1006.070859,0.614865945,0.062340676,957.2580984,0.553325037,,0
NHC,2020-02-27,11:00,9.6,754.8,7.73,1.686844756,970.8658785,0.647862492,0.062340676,957.2580984,0.553325037,,0
PM,2020-02-27,11:15,10.1,754,7,1.267236779,916.4005869,0.560182139,0.061492257,939.9796765,0.542804507,,0
PM,2020-02-27,11:15,10.1,754,7,1.048484817,871.1051888,0.6086147,0.061492257,939.9796765,0.542804507,vial leaked,0
UNHC,2020-02-27,12:00,10.3,751.1,7.79,2.753203503,685.5522273,0.577179412,0.060949053,929.9951436,0.536829369,vial leaked,0
UNHC,2020-02-27,12:00,10.3,751.1,7.79,3.137689664,805.9818393,0.657975141,0.060949053,929.9951436,0.536829369,,0
WB,2020-02-27,13:00,10.5,750.8,7.31,1.846439908,1136.069117,0.560834454,0.060620967,923.3194579,0.532768842,,0
WB,2020-02-27,13:00,10.5,750.8,7.31,1.88124999,1198.800701,0.575692236,0.060620967,923.3194579,0.532768842,,0
WBP,2020-02-27,13:30,10.3,750.5,7.32,4.332550678,1392.316435,0.651103072,0.060900365,929.2522371,0.536400534,,0
CBP,2020-03-11,14:45,14.3,752.3,7.66,2.418112148,345.1707224,0.51377576,0.055460255,816.115197,0.46757478,sample volume estimated +- 0.35g,0
CBP,2020-03-11,14:45,14.3,752.3,7.66,2.472022209,387.9550643,0.5207421,0.055460255,816.115197,0.46757478,sample volume estimated +- 0.35g,0
MC751,2020-03-11,17:30,15,751.2,7.26,40.74082592,3256.225181,0.536439433,0.054503039,796.93751,0.456015275,sample volume estimated +- 0.35g,0
MC751,2020-03-11,17:30,15,751.2,7.26,43.81786665,3553.325127,0.578526993,0.054503039,796.93751,0.456015275,sample volume estimated +- 0.35g,0
NHC,2020-03-11,13:00,13.3,755.9,7.18,4.376358783,819.2846465,0.664795895,0.057034375,846.9394334,0.48611914,sample volume estimated +- 0.35g,0
NHC,2020-03-11,13:00,13.3,755.9,7.18,4.281421788,693.0235086,0.564419069,0.057034375,846.9394334,0.48611914,sample volume estimated +- 0.35g,0
PM,2020-03-11,16:30,14.8,753.1,7.89,1.992124055,325.7423779,0.484404673,0.054889032,804.0438613,0.460245634,sample volume estimated +- 0.35g,0
PM,2020-03-11,16:30,14.8,753.1,7.89,1.697823583,210.7523055,0.469185238,0.054889032,804.0438613,0.460245634,sample volume estimated +- 0.35g,0
UNHC,2020-03-11,14:15,15.1,751,7.82,5.070206275,237.5049147,0.54867911,0.054365635,794.2049896,0.454370944,sample volume estimated +- 0.35g,0
UNHC,2020-03-11,14:15,15.1,751,7.82,5.514410622,215.4632227,0.595367281,0.054365635,794.2049896,0.454370944,sample volume estimated +- 0.35g,0
WB,2020-03-11,15:30,14.3,751,7.48,3.094778857,822.7789339,0.542133236,0.055364418,814.7049221,0.466766795,sample volume estimated +- 0.35g,0
WBP,2020-03-11,15:45,14.5,751,7.46,6.691794324,1251.397148,0.543647303,0.055111342,809.5069998,0.463621852,sample volume estimated +- 0.35g,0
WBP,2020-03-11,15:45,14.5,751,7.46,8.443223525,1413.513437,0.560856263,0.055111342,809.5069998,0.463621852,sample volume estimated +- 0.35g,0
CBP,2020-03-20,13:25,18.6,756.1,7.21,4.765884941,1013.865029,0.354521868,0.050733882,717.8425464,0.408224472,,0
CBP,2020-03-20,13:25,18.6,756.1,7.21,5.041177433,956.4701465,0.39934633,0.050733882,717.8425464,0.408224472,,0
MC751,2020-03-20,14:45,18.8,754.5,7.05,64.62305193,6221.558336,0.415443879,0.050416501,712.0470262,0.404794753,,0
MC751,2020-03-20,14:45,18.8,754.5,7.05,66.65041903,6254.665193,0.405081087,0.050416501,712.0470262,0.404794753,,0
NHC,2020-03-20,12:10,17.5,759.1,6.8,7.819191333,1722.979456,0.485192575,0.052131165,745.0709762,0.424490368,,0
NHC,2020-03-20,12:10,17.5,759.1,6.8,7.834876727,1456.394469,0.469118804,0.052131165,745.0709762,0.424490368,,0
UNHC,2020-03-20,13:00,18.7,754.8,7.41,8.669237871,749.6053234,0.395499694,0.05054137,714.4643639,0.406236105,,0
UNHC,2020-03-20,13:00,18.7,754.8,7.41,9.157106378,789.0171276,0.432949692,0.05054137,714.4643639,0.406236105,,0
WB,2020-03-20,14:00,18.8,754.8,7.22,5.749772327,1336.049477,0.422570846,0.050436547,712.3301463,0.404955705,,0
WB,2020-03-20,14:00,18.8,754.8,7.22,6.199604315,1494.197208,0.460616801,0.050436547,712.3301463,0.404955705,,0
WBP,2020-03-20,14:15,17.9,754.2,7,10.36586923,2276.260453,0.430278399,0.051355884,731.3115883,0.416370149,,0
WBP,2020-03-20,14:15,17.9,754.2,7,9.094954276,2232.112472,0.40631887,0.051355884,731.3115883,0.416370149,,0
